,0
0,"itching, skin_rash, nodal_skin_eruptions/nIt might be Fungal infection"
1," skin_rash, nodal_skin_eruptions, dischromic _patches/nIt might be Fungal infection"
2,"itching, nodal_skin_eruptions, dischromic _patches/nIt might be Fungal infection"
3,"itching, skin_rash, dischromic _patches/nIt might be Fungal infection"
4,"itching, skin_rash, nodal_skin_eruptions/nIt might be Fungal infection"
5," skin_rash, nodal_skin_eruptions, dischromic _patches/nIt might be Fungal infection"
6,"itching, nodal_skin_eruptions, dischromic _patches/nIt might be Fungal infection"
7,"itching, skin_rash, dischromic _patches/nIt might be Fungal infection"
8,"itching, skin_rash, nodal_skin_eruptions/nIt might be Fungal infection"
9,"itching, skin_rash, nodal_skin_eruptions/nIt might be Fungal infection"
10," continuous_sneezing, shivering, chills/nIt might be Allergy"
11," shivering, chills, watering_from_eyes/nIt might be Allergy"
12," continuous_sneezing, chills, watering_from_eyes/nIt might be Allergy"
13," continuous_sneezing, shivering, watering_from_eyes/nIt might be Allergy"
14," continuous_sneezing, shivering, chills/nIt might be Allergy"
15," shivering, chills, watering_from_eyes/nIt might be Allergy"
16," continuous_sneezing, chills, watering_from_eyes/nIt might be Allergy"
17," continuous_sneezing, shivering, watering_from_eyes/nIt might be Allergy"
18," continuous_sneezing, shivering, chills/nIt might be Allergy"
19," continuous_sneezing, shivering, chills/nIt might be Allergy"
20," stomach_pain, acidity, ulcers_on_tongue/nIt might be GERD"
21," stomach_pain, ulcers_on_tongue, vomiting/nIt might be GERD"
22," stomach_pain, acidity, vomiting/nIt might be GERD"
23," stomach_pain, acidity, ulcers_on_tongue/nIt might be GERD"
24," stomach_pain, acidity, ulcers_on_tongue/nIt might be GERD"
25," stomach_pain, acidity, ulcers_on_tongue/nIt might be GERD"
26," acidity, ulcers_on_tongue, vomiting/nIt might be GERD"
27," stomach_pain, ulcers_on_tongue, vomiting/nIt might be GERD"
28," stomach_pain, acidity, vomiting/nIt might be GERD"
29," stomach_pain, acidity, ulcers_on_tongue/nIt might be GERD"
30,"itching, vomiting, yellowish_skin/nIt might be Chronic cholestasis"
31," vomiting, yellowish_skin, nausea/nIt might be Chronic cholestasis"
32,"itching, yellowish_skin, nausea/nIt might be Chronic cholestasis"
33,"itching, vomiting, nausea/nIt might be Chronic cholestasis"
34,"itching, vomiting, yellowish_skin/nIt might be Chronic cholestasis"
35,"itching, vomiting, yellowish_skin/nIt might be Chronic cholestasis"
36,"itching, vomiting, yellowish_skin/nIt might be Chronic cholestasis"
37,"itching, vomiting, yellowish_skin/nIt might be Chronic cholestasis"
38,"itching, vomiting, yellowish_skin/nIt might be Chronic cholestasis"
39,"itching, vomiting, yellowish_skin/nIt might be Chronic cholestasis"
40,"itching, skin_rash, stomach_pain/nIt might be Drug Reaction"
41,"itching, stomach_pain, burning_micturition/nIt might be Drug Reaction"
42,"itching, skin_rash, burning_micturition/nIt might be Drug Reaction"
43,"itching, skin_rash, stomach_pain/nIt might be Drug Reaction"
44,"itching, skin_rash, stomach_pain/nIt might be Drug Reaction"
45," skin_rash, stomach_pain, burning_micturition/nIt might be Drug Reaction"
46,"itching, stomach_pain, burning_micturition/nIt might be Drug Reaction"
47,"itching, skin_rash, burning_micturition/nIt might be Drug Reaction"
48,"itching, skin_rash, stomach_pain/nIt might be Drug Reaction"
49,"itching, skin_rash, stomach_pain/nIt might be Drug Reaction"
50," vomiting, loss_of_appetite, abdominal_pain/nIt might be Peptic ulcer diseae"
51," vomiting, indigestion, abdominal_pain/nIt might be Peptic ulcer diseae"
52," indigestion, loss_of_appetite, abdominal_pain/nIt might be Peptic ulcer diseae"
53," vomiting, loss_of_appetite, abdominal_pain/nIt might be Peptic ulcer diseae"
54," vomiting, indigestion, abdominal_pain/nIt might be Peptic ulcer diseae"
55," vomiting, indigestion, loss_of_appetite/nIt might be Peptic ulcer diseae"
56," vomiting, indigestion, loss_of_appetite/nIt might be Peptic ulcer diseae"
57," vomiting, indigestion, loss_of_appetite/nIt might be Peptic ulcer diseae"
58," vomiting, indigestion, loss_of_appetite/nIt might be Peptic ulcer diseae"
59," vomiting, indigestion, loss_of_appetite/nIt might be Peptic ulcer diseae"
60," muscle_wasting, patches_in_throat, high_fever/nIt might be AIDS"
61," patches_in_throat, high_fever, extra_marital_contacts/nIt might be AIDS"
62," muscle_wasting, high_fever, extra_marital_contacts/nIt might be AIDS"
63," muscle_wasting, patches_in_throat, extra_marital_contacts/nIt might be AIDS"
64," muscle_wasting, patches_in_throat, high_fever/nIt might be AIDS"
65," muscle_wasting, patches_in_throat, high_fever/nIt might be AIDS"
66," muscle_wasting, patches_in_throat, high_fever/nIt might be AIDS"
67," patches_in_throat, high_fever, extra_marital_contacts/nIt might be AIDS"
68," muscle_wasting, high_fever, extra_marital_contacts/nIt might be AIDS"
69," muscle_wasting, patches_in_throat, high_fever/nIt might be AIDS"
70," fatigue, weight_loss, restlessness/nIt might be Diabetes "
71," fatigue, weight_loss, restlessness/nIt might be Diabetes "
72," weight_loss, restlessness, lethargy/nIt might be Diabetes "
73," fatigue, restlessness, lethargy/nIt might be Diabetes "
74," fatigue, weight_loss, lethargy/nIt might be Diabetes "
75," fatigue, weight_loss, restlessness/nIt might be Diabetes "
76," fatigue, weight_loss, restlessness/nIt might be Diabetes "
77," fatigue, weight_loss, restlessness/nIt might be Diabetes "
78," fatigue, weight_loss, restlessness/nIt might be Diabetes "
79," fatigue, weight_loss, restlessness/nIt might be Diabetes "
80," vomiting, sunken_eyes, dehydration/nIt might be Gastroenteritis"
81," vomiting, sunken_eyes, dehydration/nIt might be Gastroenteritis"
82," sunken_eyes, dehydration, diarrhoea/nIt might be Gastroenteritis"
83," vomiting, dehydration, diarrhoea/nIt might be Gastroenteritis"
84," vomiting, sunken_eyes, diarrhoea/nIt might be Gastroenteritis"
85," vomiting, sunken_eyes, dehydration/nIt might be Gastroenteritis"
86," vomiting, sunken_eyes, dehydration/nIt might be Gastroenteritis"
87," sunken_eyes, dehydration, diarrhoea/nIt might be Gastroenteritis"
88," vomiting, dehydration, diarrhoea/nIt might be Gastroenteritis"
89," vomiting, sunken_eyes, diarrhoea/nIt might be Gastroenteritis"
90," fatigue, cough, high_fever/nIt might be Bronchial Asthma"
91," cough, high_fever, breathlessness/nIt might be Bronchial Asthma"
92," fatigue, high_fever, breathlessness/nIt might be Bronchial Asthma"
93," fatigue, cough, breathlessness/nIt might be Bronchial Asthma"
94," fatigue, cough, high_fever/nIt might be Bronchial Asthma"
95," fatigue, cough, high_fever/nIt might be Bronchial Asthma"
96," fatigue, cough, high_fever/nIt might be Bronchial Asthma"
97," fatigue, cough, high_fever/nIt might be Bronchial Asthma"
98," cough, high_fever, breathlessness/nIt might be Bronchial Asthma"
99," fatigue, high_fever, breathlessness/nIt might be Bronchial Asthma"
100," headache, chest_pain, dizziness/nIt might be Hypertension "
101," chest_pain, dizziness, loss_of_balance/nIt might be Hypertension "
102," headache, dizziness, loss_of_balance/nIt might be Hypertension "
103," headache, chest_pain, loss_of_balance/nIt might be Hypertension "
104," headache, chest_pain, dizziness/nIt might be Hypertension "
105," headache, chest_pain, dizziness/nIt might be Hypertension "
106," headache, chest_pain, dizziness/nIt might be Hypertension "
107," chest_pain, dizziness, loss_of_balance/nIt might be Hypertension "
108," headache, dizziness, loss_of_balance/nIt might be Hypertension "
109," headache, chest_pain, loss_of_balance/nIt might be Hypertension "
110," acidity, indigestion, headache/nIt might be Migraine"
111," indigestion, headache, blurred_and_distorted_vision/nIt might be Migraine"
112," acidity, headache, blurred_and_distorted_vision/nIt might be Migraine"
113," acidity, indigestion, blurred_and_distorted_vision/nIt might be Migraine"
114," acidity, indigestion, headache/nIt might be Migraine"
