itching, skin_rash, nodal_skin_eruptions/nIt might be Fungal infection
 skin_rash, nodal_skin_eruptions, dischromic _patches/nIt might be Fungal infection
itching, nodal_skin_eruptions, dischromic _patches/nIt might be Fungal infection
itching, skin_rash, dischromic _patches/nIt might be Fungal infection
itching, skin_rash, nodal_skin_eruptions/nIt might be Fungal infection
 skin_rash, nodal_skin_eruptions, dischromic _patches/nIt might be Fungal infection
itching, nodal_skin_eruptions, dischromic _patches/nIt might be Fungal infection
itching, skin_rash, dischromic _patches/nIt might be Fungal infection
itching, skin_rash, nodal_skin_eruptions/nIt might be Fungal infection
itching, skin_rash, nodal_skin_eruptions/nIt might be Fungal infection
 continuous_sneezing, shivering, chills/nIt might be Allergy
 shivering, chills, watering_from_eyes/nIt might be Allergy
 continuous_sneezing, chills, watering_from_eyes/nIt might be Allergy
 continuous_sneezing, shivering, watering_from_eyes/nIt might be Allergy
 continuous_sneezing, shivering, chills/nIt might be Allergy
 shivering, chills, watering_from_eyes/nIt might be Allergy
 continuous_sneezing, chills, watering_from_eyes/nIt might be Allergy
 continuous_sneezing, shivering, watering_from_eyes/nIt might be Allergy
 continuous_sneezing, shivering, chills/nIt might be Allergy
 continuous_sneezing, shivering, chills/nIt might be Allergy
 stomach_pain, acidity, ulcers_on_tongue/nIt might be GERD
 stomach_pain, ulcers_on_tongue, vomiting/nIt might be GERD
 stomach_pain, acidity, vomiting/nIt might be GERD
 stomach_pain, acidity, ulcers_on_tongue/nIt might be GERD
 stomach_pain, acidity, ulcers_on_tongue/nIt might be GERD
 stomach_pain, acidity, ulcers_on_tongue/nIt might be GERD
 acidity, ulcers_on_tongue, vomiting/nIt might be GERD
 stomach_pain, ulcers_on_tongue, vomiting/nIt might be GERD
 stomach_pain, acidity, vomiting/nIt might be GERD
 stomach_pain, acidity, ulcers_on_tongue/nIt might be GERD
itching, vomiting, yellowish_skin/nIt might be Chronic cholestasis
 vomiting, yellowish_skin, nausea/nIt might be Chronic cholestasis
itching, yellowish_skin, nausea/nIt might be Chronic cholestasis
itching, vomiting, nausea/nIt might be Chronic cholestasis
itching, vomiting, yellowish_skin/nIt might be Chronic cholestasis
itching, vomiting, yellowish_skin/nIt might be Chronic cholestasis
itching, vomiting, yellowish_skin/nIt might be Chronic cholestasis
itching, vomiting, yellowish_skin/nIt might be Chronic cholestasis
itching, vomiting, yellowish_skin/nIt might be Chronic cholestasis
itching, vomiting, yellowish_skin/nIt might be Chronic cholestasis
itching, skin_rash, stomach_pain/nIt might be Drug Reaction
itching, stomach_pain, burning_micturition/nIt might be Drug Reaction
itching, skin_rash, burning_micturition/nIt might be Drug Reaction
itching, skin_rash, stomach_pain/nIt might be Drug Reaction
itching, skin_rash, stomach_pain/nIt might be Drug Reaction
 skin_rash, stomach_pain, burning_micturition/nIt might be Drug Reaction
itching, stomach_pain, burning_micturition/nIt might be Drug Reaction
itching, skin_rash, burning_micturition/nIt might be Drug Reaction
itching, skin_rash, stomach_pain/nIt might be Drug Reaction
itching, skin_rash, stomach_pain/nIt might be Drug Reaction
 vomiting, loss_of_appetite, abdominal_pain/nIt might be Peptic ulcer diseae
 vomiting, indigestion, abdominal_pain/nIt might be Peptic ulcer diseae
 indigestion, loss_of_appetite, abdominal_pain/nIt might be Peptic ulcer diseae
 vomiting, loss_of_appetite, abdominal_pain/nIt might be Peptic ulcer diseae
 vomiting, indigestion, abdominal_pain/nIt might be Peptic ulcer diseae
 vomiting, indigestion, loss_of_appetite/nIt might be Peptic ulcer diseae
 vomiting, indigestion, loss_of_appetite/nIt might be Peptic ulcer diseae
 vomiting, indigestion, loss_of_appetite/nIt might be Peptic ulcer diseae
 vomiting, indigestion, loss_of_appetite/nIt might be Peptic ulcer diseae
 vomiting, indigestion, loss_of_appetite/nIt might be Peptic ulcer diseae
 muscle_wasting, patches_in_throat, high_fever/nIt might be AIDS
 patches_in_throat, high_fever, extra_marital_contacts/nIt might be AIDS
 muscle_wasting, high_fever, extra_marital_contacts/nIt might be AIDS
 muscle_wasting, patches_in_throat, extra_marital_contacts/nIt might be AIDS
 muscle_wasting, patches_in_throat, high_fever/nIt might be AIDS
 muscle_wasting, patches_in_throat, high_fever/nIt might be AIDS
 muscle_wasting, patches_in_throat, high_fever/nIt might be AIDS
 patches_in_throat, high_fever, extra_marital_contacts/nIt might be AIDS
